cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12	cell13	cell14	cell15	cell18	cell19	cell20	cell21	cell22	cell23	cell24	cell25	cell26	cell27	cell28	cell29	cell30	cell31	cell32	cell33	cell34	cell35	cell36	cell37	cell38	cell39	cell42	cell43	cell44	cell45	cell46	cell47	cell48	cell49	cell51	cell53	cell54	cell55	cell57	cell58	cell60	cell62	cell64	cell65	cell66	cell67	cell68	cell69	cell72	cell73	cell74	cell75	cell76	cell77	cell78	cell79	cell80	cell81	cell83	cell84	cell85	cell86	cell87	cell88	cell89	cell90	cell92	cell93	cell95	cell96	cell97	cell98	cell99	cell101	cell102	cell104	cell105	cell106	cell107	cell108
'AntiguaandBarbuda'	'Argentina'	'Bolivia'	'Bahia'	'Amazonas'	'Maldives'	'NetherlandsAntilles'	'CentralAfricanRepublic'	'UnitedArabEmirates'	'EasterIsland'	'Anguilla'	'LordHoweIs'	'Brazil'	'Bermuda'	'Bahamas'	'Kalimantan'	'CocosIslands'	'Tripura'	'BritishIndianOceanTerritory'	'Goa'	'WakeIsland'	'NorthernIreland'	'Hawaii'	'Reunion'	'SaintHelena'	'CookIslands'	'AmericanSamoa'	'NusaTenggara'	'Moluccas'	'Meghalaya'	'Crete'	'Ningxia'	'Qinghai'	'Andorra'	'Madagascar'	'Benin'	'CapeVerde'	'Guangxi'	'Anhui'	'Heilongjiang'	'Gansu'	'BosniaandHerzegovina'	'ChannelIslands'	'NorthwestTerritories'	'Angola'	'BurkinaFaso'	'Bhutan'	'Honshu'	'Hebei'	'Mongolia'	'Belarus'	'Newfoundland'	'NewCaledonia'	'Delhi'	'HimachalPradesh'	'Afghanistan'	'JammuandKashmir'	'Armenia'	'Croatia'	'Alberta'	'BruneiDarussalam'	'Queensland'	'AustralianNorthernTerritory'	'NewSouthWales'	'SouthAustralia'	'Corsica'	'Sardinia'	'Georgia'	'Albania'	'Maine'	'Colorado'	'Sumatra'	'Guangdong'	'Bihar'	'SaudiArabia'	'Chile'	'Malta'	'Ukraine'	'CzechRepublic'	'Quebec'	'Arizona'	'Bangladesh'	'Australia'	'Pakistan'	'Cyprus'	'Algeria'	'Austria'	'Finland'	'Canada'	'Ontario'	'USA'
'Barbados'	'Colombia'	'SaoPaulo'	'MinasGerais'	'Ceara'	'SaoTomeandPrincipe'	'Comoros'	'Eritrea'	'Bahrain'	'WesternSahara'	'Alagoas'	'Aruba'	'Cuba'	NA	NA	'AndamanandNicobarIslands'	'ChristmasIsland'	NA	NA	'Lakshadweep'	NA	'Greenland'	NA	NA	NA	'Guam'	'FederatedstatesofMicronesia'	NA	'Haryana'	NA	'ArunachalPradesh'	NA	'Chandigarh'	'FaroeIslands'	'Mauritius'	'Congo'	'Gambia'	'Hainan'	'Guizhou'	'Jilin'	'NeiMenggu'	'BalearicIslands'	'Scotland'	'YukonTerritory'	'Cameroon'	'Burundi'	'Fujian'	'Kyushu'	'Shandong'	'SouthernRussia'	'EnglandandWales'	'PrinceEdwardIsland'	NA	'Rajasthan'	NA	NA	'Hokkaido'	'Azerbaijan'	'Kyrgyzstan'	'BritishColumbia'	'Fiji'	'Assam'	'AndhraPradesh'	NA	'Tasmania'	'Sicily'	NA	'Russia'	'Estonia'	'NewHampshire'	'Minnesota'	'Cambodia'	'Karnataka'	'Maharashtra'	NA	'Jordan'	NA	'FormerYugoslavia'	'Ireland'	'Connecticut'	'Indiana'	'Indonesia'	'China'	NA	'Egypt'	'Spain'	'Belgium'	'Norway'	NA	'Illinois'	'Alabama'
'Dominica'	'Peru'	'CostaRica'	'Parana'	'EspiritoSanto'	NA	'Oman'	'Gabon'	'Botswana'	'RodriguezIsland'	'Maranhao'	'Bonaire'	'Mexico'	NA	NA	'MarshallIslands'	'NorfolkIsland'	NA	NA	'Nagaland'	NA	'Gaza'	NA	NA	NA	'NorthernMarianaIslands'	'CarolineIslands'	NA	'Manipur'	NA	NA	NA	'Damman'	'Gibraltar'	NA	CotedNAIvoire'	'Seychelles'	'Hubei'	'Henan'	'Liaoning'	'Xinjiang'	'Macedonia'	'EasternSiberia'	'Alaska'	'Ethiopia'	'Guinea'	'Jiangsu'	'Shikoku'	NA	NA	'Slovenia'	'Saskatchewan'	NA	NA	NA	NA	NA	'RussianFarEast'	'Kazakhstan'	'Manitoba'	'PapuaBarat'	'Kerala'	'Gujarat'	NA	'Victoria'	'Azores'	NA	'SerbiaandMontenegro'	'Lithuania'	'RhodeIsland'	'Nebraska'	'Laos'	'TamilNadu'	'IndianPunjab'	NA	NA	NA	NA	NA	'Delaware'	'Kansas'	'Java'	'HongKong'	NA	'CanaryIslands'	'Greece'	'Bulgaria'	NA	NA	'NewJersey'	'Arkansas'
'DominicanRepublic'	'Suriname'	'Ecuador'	'RiodeJaneiro'	'Goias'	NA	'Tuvalu'	'Liberia'	'Djibouti'	'PitcairnIslands'	'MattoGrossodoSul'	'Acre'	'Venezuela'	NA	NA	'WallisandFutuna'	NA	NA	NA	'Tokelau'	NA	'Russia'	NA	NA	NA	'FrenchPolynesia'	'Kiribati'	NA	NA	NA	NA	NA	'DadraandNagarHaveli'	'Iceland'	NA	'SierraLeone'	NA	'Hunan'	'Shanxi'	'Xizhang'	NA	'WesternSiberia'	'NorthernRussia'	NA	'Ghana'	'Mali'	'Yunnan'	'KoreaDPR'	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Uzbekistan'	'Luxembourg'	'NewBrunswick'	'Sulawesi'	NA	'MadhyaPradesh'	NA	'WesternAustralia'	'Madeira'	NA	NA	'Latvia'	'Vermont'	'NewMexico'	'PeninsularMalaysia'	'WestBengal'	'UttarPradesh'	NA	NA	NA	NA	NA	'Iowa'	'Kentucky'	'SriLanka'	'Taiwan'	NA	'Israel'	'Morocco'	'Switzerland'	NA	NA	'NewYork'	'California'
'Grenada'	NA	'Guatemala'	'RioGrandedoSul'	'Parxe'	NA	'Zanzibar'	'Swaziland'	'EquatorialGuinea'	'Qatar'	'MattoGrosso'	'Amapa'	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Serbia'	NA	NA	NA	'Tonga'	'Niue'	NA	NA	NA	NA	NA	'Diu'	'Liechtenstein'	NA	'Senegal'	NA	'Jiangxi'	'Shaanxi'	NA	NA	NA	NA	NA	'Kenya'	'Niger'	'Zhejiang'	'KoreaRepublicof'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Moldova'	'NovaScotia'	'Sabah'	NA	'Orissa'	NA	'NewZealand'	NA	NA	NA	'Slovakia'	NA	'Oregon'	'Tahiti'	NA	'Nepal'	NA	NA	NA	NA	NA	'Massachusetts'	'Missouri'	'Myanmar'	'India'	NA	'Iraq'	'Portugal'	'Czechoslovakiaformer'	NA	NA	'Ohio'	'Florida'
'Guadeloupe'	NA	'Honduras'	'SantaCatarina'	'Pernambuco'	NA	NA	'Chad'	'GuineaBissau'	NA	'Paraiba'	'FernandodeNoronha'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Vanuatu'	'Belau'	NA	NA	NA	NA	NA	'Mizoram'	'Monaco'	NA	'Togo'	NA	'Sichuan'	NA	NA	NA	NA	NA	NA	'Malawi'	'Rwanda'	'Sikkim'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'CentralRussia'	'Idaho'	'Sarawak'	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Utah'	'Singapore'	NA	NA	NA	NA	NA	NA	NA	'Michigan'	'Oklahoma'	'Malaysia'	'Japan'	NA	'Iran'	'Turkey'	'Germany'	NA	NA	'Pennsylvania'	'GeorgiaUSA'
'Guyana'	NA	'Nicaragua'	'FrenchGuiana'	'Belize'	NA	NA	NA	'Kuwait'	NA	'Piauxed'	'Rondonia'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Samoa'	NA	NA	NA	NA	NA	NA	'SanMarino'	'FormerUSSR'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Mozambique'	'Somalia'	'RyukyuArchipelago'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Siberia'	'Montana'	'SolomonIslands'	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Washington'	NA	NA	NA	NA	NA	NA	NA	NA	'Wisconsin'	NA	'Philippines'	NA	NA	'Lebanon'	NA	'Denmark'	NA	NA	NA	'Louisiana'
'Haiti'	NA	'Panama'	'Paraguay'	'CaymanIslands'	NA	NA	NA	'Lesotho'	NA	'RioGrandedoNorte'	'Roraima'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Nigeria'	'Yemen'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Tajikistan'	'NorthDakota'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'WestVirginia'	NA	'Thailand'	NA	NA	'Libya'	NA	'France'	NA	NA	NA	'Maryland'
'Jamaica'	NA	'ElSalvador'	NA	'BritishVirginIslands'	NA	NA	NA	'Mauritania'	NA	'Sergipe'	'Beijing'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Sudan'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Turkmenistan'	'Nevada'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Vietnam'	NA	NA	'Syria'	NA	'UnitedKingdom'	NA	NA	NA	'Mississippi'
'SaintKittsandNevis'	NA	'Uruguay'	NA	'UnitedStatesVirginIslands'	NA	NA	NA	'Namibia'	NA	'Macao'	'Shanghai'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Tanzania'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'SouthDakota'	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'Tunisia'	NA	'Hungary'	NA	NA	NA	'NorthCarolina'
